@relation train_new-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement_predicted

@attribute protocol_type {tcp,udp,icmp}
@attribute service {ftp_data,other,private,http,remote_job,name,netbios_ns,eco_i,mtp,telnet,finger,domain_u,supdup,uucp_path,Z39_50,smtp,csnet_ns,uucp,netbios_dgm,urp_i,auth,domain,ftp,bgp,ldap,ecr_i,gopher,vmnet,systat,http_443,efs,whois,imap4,iso_tsap,echo,klogin,link,sunrpc,login,kshell,sql_net,time,hostnames,exec,ntp_u,discard,nntp,courier,ctf,ssh,daytime,shell,netstat,pop_3,nnsp,IRC,pop_2,printer,tim_i,pm_dump,red_i,netbios_ssn,rje,X11,urh_i,http_8001,aol,http_2784,tftp_u,harvest}
@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute land numeric
@attribute wrong_fragment numeric
@attribute root_shell numeric
@attribute count numeric
@attribute diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute 'prediction margin' numeric
@attribute 'predicted label' {normal,neptune,warezclient,ipsweep,portsweep,teardrop,nmap,satan,smurf,pod,back,guess_passwd,ftp_write,multihop,rootkit,buffer_overflow,imap,warezmaster,phf,land,loadmodule,spy,perl}
@attribute label {normal,neptune,warezclient,ipsweep,portsweep,teardrop,nmap,satan,smurf,pod,back,guess_passwd,ftp_write,multihop,rootkit,buffer_overflow,imap,warezmaster,phf,land,loadmodule,spy,perl}

@data
tcp,http,SF,192,654,0,0,0,24,0,0,1,normal,?
tcp,http,SF,253,11905,0,0,0,8,0,0.01,1,normal,?
tcp,http,SF,204,525,0,0,0,3,0,0,1,normal,?
tcp,private,S0,0,0,0,0,0,263,0.06,0,-1,neptune,?
tcp,vmnet,S0,0,0,0,0,0,240,0.05,0,-1,neptune,?
tcp,private,S0,0,0,0,0,0,279,0.06,0,-1,neptune,?
tcp,private,S0,0,0,0,0,0,150,0.05,0,-1,neptune,?
icmp,ecr_i,SF,1480,0,0,1,0,2,0,1,-1,pod,?
tcp,http,REJ,0,0,0,0,0,1,0,0,1,normal,?
tcp,http,SF,225,3730,0,0,0,2,0,0,1,normal,?
tcp,ftp_data,SF,12286,0,0,0,0,19,0,1,1,normal,?
tcp,http,SF,223,2302,0,0,0,5,0,0,1,normal,?
udp,domain_u,SF,57,42,0,0,0,2,0,0.07,1,normal,?
tcp,smtp,SF,757,373,0,0,0,1,0,0.06,1,normal,?
udp,domain_u,SF,33,49,0,0,0,2,0,0.08,1,normal,?
tcp,http,SF,257,771,0,0,0,4,0,0.06,1,normal,?
udp,private,SF,105,146,0,0,0,1,0,0.12,1,normal,?
tcp,http,SF,324,2302,0,0,0,22,0,0,1,normal,?
tcp,ftp_data,SF,59,0,0,0,0,23,0,0.41,1,normal,?
tcp,http,SF,244,1847,0,0,0,4,0,0.25,1,normal,?
tcp,http,SF,199,1712,0,0,0,9,0,0.05,1,normal,?
tcp,http,SF,303,1380,0,0,0,3,0,0.05,1,normal,?
tcp,private,REJ,0,0,0,0,0,44,1,0,-1,satan,?
tcp,http,SF,212,2156,0,0,0,13,0,0.08,1,normal,?
udp,domain_u,SF,44,113,0,0,0,1,0,0,1,normal,?
tcp,http,SF,362,457,0,0,0,20,0,0,1,normal,?
icmp,eco_i,SF,30,0,0,0,0,2,1,0.02,1,normal,?
tcp,ftp_data,SF,334,0,0,0,0,2,0,1,-0.986577,warezclient,?
tcp,smtp,SF,1119,325,0,0,0,1,0,0,1,normal,?
tcp,http,S0,0,0,0,0,0,8,0.38,0.01,-1,neptune,?
tcp,smtp,SF,874,311,0,0,0,1,0,0.01,1,normal,?
tcp,shell,RSTO,0,0,0,0,0,132,0.05,0,-1,neptune,?
tcp,other,RSTR,1,0,0,0,0,2,0,1,-1,portsweep,?
tcp,other,RSTR,1,0,0,0,0,2,0,1,-1,portsweep,?
tcp,private,S0,0,0,0,0,0,101,0.06,0,-1,neptune,?
tcp,http,SF,279,761,0,0,0,4,0,0.12,1,normal,?
udp,private,SF,105,145,0,0,0,4,0.5,0.01,1,normal,?
tcp,http,SF,180,2401,0,0,0,4,0,0.04,1,normal,?
udp,domain_u,SF,43,43,0,0,0,148,0,0.01,1,normal,?
udp,domain_u,SF,45,137,0,0,0,76,0,0,1,normal,?
tcp,http,REJ,0,0,0,0,0,1,0,0.17,1,normal,?
tcp,ftp_data,SF,35,0,0,0,0,2,0,0.13,1,normal,?
tcp,http,SF,310,2794,0,0,0,4,0,0,1,normal,?
tcp,http,SF,334,5369,0,0,0,2,0,0,1,normal,?
udp,other,SF,146,105,0,0,0,1,0,0.97,1,normal,?
icmp,ecr_i,SF,520,0,0,0,0,418,0,1,-1,smurf,?
tcp,smtp,SF,633,331,0,0,0,1,0,0.01,1,normal,?
tcp,http,SF,263,17087,0,0,0,1,0,0.14,1,normal,?
tcp,private,REJ,0,0,0,0,0,142,0.06,0,-1,neptune,?
tcp,ldap,REJ,0,0,0,0,0,109,0.08,0,-1,neptune,?
tcp,ftp_data,S1,83220,0,0,0,0,5,0,0.25,1,normal,?
udp,domain_u,SF,45,134,0,0,0,67,0,0,1,normal,?
udp,domain_u,SF,42,42,0,0,0,9,0,0.01,1,normal,?
tcp,private,S0,0,0,0,0,0,228,0.06,0,-1,neptune,?
tcp,private,RSTO,0,0,0,0,0,127,0.07,0,-1,neptune,?
tcp,vmnet,S0,0,0,0,0,0,116,0.06,0,-1,neptune,?
tcp,private,S0,0,0,0,0,0,83,0.07,0,-1,neptune,?
tcp,smtp,SF,623,437,0,0,0,1,0,0.25,1,normal,?
tcp,http,SF,216,224,0,0,0,17,0,0.06,1,normal,?
udp,other,SF,146,105,0,0,0,1,0,0.84,1,normal,?
tcp,uucp_path,REJ,0,0,0,0,0,135,0.07,0,-1,neptune,?
tcp,bgp,S0,0,0,0,0,0,195,0.06,0,-1,neptune,?
tcp,ftp_data,SF,748,0,0,0,0,1,0,0.13,1,normal,?
tcp,http,SF,238,2698,0,0,0,7,0,0,1,normal,?
tcp,http,S0,0,0,0,0,0,2,0,0.1,1,normal,?
tcp,http,SF,292,1718,0,0,0,8,0,0.01,1,normal,?
tcp,private,S0,0,0,0,0,0,111,0.07,0,-1,neptune,?
tcp,http,SF,324,381,0,0,0,27,0,0.01,1,normal,?
tcp,sunrpc,S0,0,0,0,0,0,261,0.07,0,-1,neptune,?
tcp,courier,REJ,0,0,0,0,0,142,0.06,0,-1,neptune,?
tcp,http,SF,325,1227,0,0,0,13,0,0,1,normal,?
udp,domain_u,SF,44,44,0,0,0,109,0.02,0.01,1,normal,?
tcp,http,SF,246,230,0,0,0,2,0,0.17,1,normal,?
tcp,http,SF,207,986,0,0,0,13,0,0.08,1,normal,?
tcp,http,SF,238,1109,0,0,0,4,0,0,1,normal,?
tcp,http,SF,148,18275,0,0,0,4,0,0,1,normal,?
tcp,other,RSTR,1,0,0,0,0,2,0,1,-1,portsweep,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
tcp,private,REJ,0,0,0,0,0,142,0.07,0,-1,neptune,?
tcp,discard,S0,0,0,0,0,0,240,0.06,0,-1,neptune,?
tcp,http,SF,309,306,0,0,0,1,0,0.02,1,normal,?
tcp,http,SF,303,8720,0,0,0,21,0,0,1,normal,?
tcp,http,SF,246,3749,0,0,0,6,0,0.07,1,normal,?
tcp,private,REJ,0,0,0,0,0,4,0,0,-1,neptune,?
tcp,ftp_data,SF,334,0,0,0,0,1,0,1,-1,warezclient,?
udp,domain_u,SF,45,77,0,0,0,182,0,0.01,1,normal,?
tcp,telnet,S0,0,0,0,0,0,43,0.09,0.02,-1,neptune,?
icmp,urp_i,SF,181,0,0,0,0,2,1,0.56,1,normal,?
tcp,http,SF,217,854,0,0,0,24,0,0.04,1,normal,?
tcp,ftp_data,SF,245,0,0,0,0,3,0.67,0.05,1,normal,?
icmp,ecr_i,SF,1032,0,0,0,0,395,0,1,-1,smurf,?
tcp,http,SF,190,1975,0,0,0,7,0,0,1,normal,?
udp,domain_u,SF,45,134,0,0,0,76,0,0,1,normal,?
udp,domain_u,SF,46,128,0,0,0,80,0.03,0,1,normal,?
udp,domain_u,SF,33,88,0,0,0,2,0,0.01,1,normal,?
tcp,smtp,SF,1177,333,0,0,0,1,0,0.07,1,normal,?
tcp,telnet,S0,0,0,0,0,0,37,0.11,0,-1,neptune,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
tcp,http,SF,325,2649,0,0,0,7,0,0.01,1,normal,?
tcp,http,SF,251,15206,0,0,0,1,0,0.04,1,normal,?
tcp,hostnames,S0,0,0,0,0,0,276,0.06,0,-1,neptune,?
tcp,smtp,SF,2570,373,0,0,0,1,0,0.02,1,normal,?
tcp,private,REJ,0,0,0,0,0,246,0.07,0,-1,neptune,?
tcp,name,S0,0,0,0,0,0,290,0.06,0,-1,neptune,?
tcp,http,S0,0,0,0,0,0,257,0.06,0,-1,neptune,?
udp,domain_u,SF,44,74,0,0,0,104,0,0,1,normal,?
udp,domain_u,SF,44,127,0,0,0,270,0.01,0,1,normal,?
udp,domain_u,SF,43,90,0,0,0,181,0,0.01,1,normal,?
tcp,http,SF,196,37327,0,0,0,3,0,0.04,1,normal,?
udp,domain_u,SF,44,74,0,0,0,158,0,0,1,normal,?
tcp,http,REJ,0,0,0,0,0,1,0,0.08,1,normal,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
tcp,csnet_ns,S0,0,0,0,0,0,284,0.06,0,-1,neptune,?
tcp,private,S0,0,0,0,0,0,123,0.06,0,-1,neptune,?
icmp,ecr_i,SF,520,0,0,0,0,466,0,1,-1,smurf,?
udp,other,SF,147,0,0,0,0,3,0.67,0.97,1,normal,?
tcp,http,SF,290,762,0,0,0,7,0,0.01,1,normal,?
tcp,telnet,S0,0,0,0,0,0,19,0,0.02,-1,neptune,?
tcp,http,SF,250,293,0,0,0,23,0,0,1,normal,?
tcp,auth,S0,0,0,0,0,0,282,0.06,0,-1,neptune,?
udp,domain_u,SF,46,46,0,0,0,6,0.33,0.04,1,normal,?
tcp,other,REJ,0,0,0,0,0,509,1,0,-1,satan,?
tcp,private,REJ,0,0,0,0,0,98,0.07,0,-1,neptune,?
udp,domain_u,SF,45,73,0,0,0,287,0,0,1,normal,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
tcp,http,S0,0,0,0,0,0,2,0,0.04,1,normal,?
tcp,http,SF,236,1109,0,0,0,12,0,0.04,1,normal,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
tcp,sql_net,S0,0,0,0,0,0,2,1,0,0.197826,normal,?
tcp,smtp,SF,1562,399,0,0,0,1,0,0,1,normal,?
tcp,other,RSTR,1,0,0,0,0,2,0,1,-1,portsweep,?
tcp,klogin,S0,0,0,0,0,0,128,0.06,0,-1,neptune,?
tcp,private,REJ,0,0,0,0,0,200,1,0,-1,satan,?
tcp,echo,S0,0,0,0,0,0,209,0.07,0,-1,neptune,?
tcp,http,SF,241,975,0,0,0,24,0,0,1,normal,?
tcp,ftp_data,SF,748,0,0,0,0,1,0,0.83,1,normal,?
tcp,ftp,S0,0,0,0,0,0,240,0.07,0,-1,neptune,?
udp,private,SF,28,0,0,3,0,32,0.06,0.12,-1,teardrop,?
tcp,http,SF,206,1618,0,0,0,8,0,0.01,1,normal,?
tcp,http,SF,329,8437,0,0,0,4,0,0.01,1,normal,?
udp,domain_u,SF,44,86,0,0,0,213,0,0,1,normal,?
tcp,http,SF,287,2459,0,0,0,1,0,0.05,1,normal,?
tcp,courier,S0,0,0,0,0,0,109,0.06,0,-1,neptune,?
tcp,http,SF,296,1425,0,0,0,1,0,0.01,1,normal,?
icmp,ecr_i,SF,1032,0,0,0,0,511,0,0.69,-1,smurf,?
tcp,uucp,S0,0,0,0,0,0,124,0.06,0,-1,neptune,?
tcp,smtp,SF,731,329,0,0,0,1,0,0.01,1,normal,?
tcp,ftp_data,SF,740,0,0,0,0,2,0,0.05,1,normal,?
tcp,ftp,SF,1228,2451,0,0,0,1,0,0,-1,warezclient,?
tcp,ftp,S0,0,0,0,0,0,238,0.06,0,-1,neptune,?
tcp,http,SF,282,1828,0,0,0,9,0,0.11,1,normal,?
tcp,name,S0,0,0,0,0,0,135,0.06,0,-1,neptune,?
udp,private,SF,28,0,0,1,0,1,0,0.01,-1,teardrop,?
tcp,http,SF,206,365,0,0,0,28,0,0,1,normal,?
tcp,http,SF,336,451,0,0,0,18,0,0,1,normal,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
tcp,private,S0,0,0,0,0,0,128,0.05,0,-1,neptune,?
tcp,ftp_data,SF,5150,0,0,0,0,1,0,0.25,1,normal,?
tcp,http,SF,329,1671,0,0,0,35,0,0.03,1,normal,?
tcp,private,REJ,0,0,0,0,0,256,0.07,0,-1,neptune,?
tcp,ftp_data,SF,71,0,0,0,0,2,1,0.25,1,normal,?
tcp,http,SF,296,655,0,0,0,52,0,0,1,normal,?
tcp,http,SF,218,342,0,0,0,17,0,0.01,1,normal,?
udp,private,SF,105,0,0,0,0,2,0,0.01,1,normal,?
tcp,private,S0,0,0,0,0,0,252,0.06,0,-1,neptune,?
icmp,urh_i,SF,36,0,0,0,0,3,1,0.19,1,normal,?
tcp,http,SF,303,9557,0,0,0,11,0,0.04,1,normal,?
tcp,private,RSTR,0,0,0,0,0,1,0,0.63,-1,portsweep,?
udp,private,SF,28,0,0,3,0,46,0,0.18,-1,teardrop,?
icmp,ecr_i,SF,1032,0,0,0,0,511,0,0.29,-1,smurf,?
tcp,ftp,SF,1053,3081,0,0,0,1,0,0.01,1,normal,?
tcp,http,SF,319,771,0,0,0,26,0,0.03,1,normal,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
icmp,eco_i,SF,18,0,0,0,0,1,0,1,-1,ipsweep,?
tcp,gopher,S0,0,0,0,0,0,232,0.06,0,-1,neptune,?
tcp,private,REJ,0,0,0,0,0,116,0.07,0,-1,neptune,?
tcp,iso_tsap,S0,0,0,0,0,0,248,0.06,0,-1,neptune,?
tcp,ftp_data,SF,879,0,0,0,0,7,0,0.33,1,normal,?
udp,domain_u,SF,34,0,0,0,0,1,0,0.05,1,normal,?
tcp,http,S0,0,0,0,0,0,10,0.2,0,-1,neptune,?
tcp,private,S0,0,0,0,0,0,273,0.05,0,-1,neptune,?
tcp,http,SF,327,7042,0,0,0,4,0,0.01,1,normal,?
tcp,http,SF,203,595,0,0,0,11,0,0.01,1,normal,?
tcp,http,S0,0,0,0,0,0,46,0.09,0,-1,neptune,?
tcp,private,REJ,0,0,0,0,0,118,0.07,0,-1,neptune,?
tcp,http,SF,286,687,0,0,0,2,0,0.01,1,normal,?
tcp,smtp,S0,0,0,0,0,0,2,0,0.01,0.785714,normal,?
tcp,http,REJ,0,0,0,0,0,1,0,1,1,normal,?
tcp,telnet,S0,0,0,0,0,0,3,1,0.01,-1,neptune,?
tcp,private,REJ,0,0,0,0,0,374,0.52,1,-1,portsweep,?
tcp,http,SF,141,23466,0,0,0,3,0,0.33,1,normal,?
tcp,http,REJ,0,0,0,0,0,211,0.07,0,-1,neptune,?
tcp,http,SF,331,479,0,0,0,6,0,0.01,1,normal,?
tcp,private,S0,0,0,0,0,0,280,0.06,0,-1,neptune,?
tcp,sunrpc,S0,0,0,0,0,0,141,0.06,0,-1,neptune,?
tcp,uucp,S0,0,0,0,0,0,148,0.06,0,-1,neptune,?
tcp,http,SF,226,1411,0,0,0,8,0,0.03,1,normal,?
tcp,http,SF,223,980,0,0,0,2,0,0.5,1,normal,?
tcp,private,S0,0,0,0,0,0,131,0.05,0,-1,neptune,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
tcp,login,S0,0,0,0,0,0,103,0.07,0,-1,neptune,?
tcp,ftp_data,SF,832,0,0,0,0,1,0,1,-1,warezclient,?
udp,private,SF,28,0,0,3,0,66,0.03,0.25,-1,teardrop,?
tcp,http,SF,282,18884,0,0,0,7,0,0.14,1,normal,?
tcp,ftp_data,SF,259,0,0,0,0,2,0,0.12,1,normal,?
tcp,private,REJ,0,0,0,0,0,76,0.08,0,-1,neptune,?
tcp,http,SF,329,1584,0,0,0,4,0,0,1,normal,?
tcp,http,SF,214,630,0,0,0,4,0,0,1,normal,?
tcp,http,S2,290,54675,0,0,0,3,0,0.04,1,normal,?
tcp,smtp,SF,2310,328,0,0,0,1,0,0,1,normal,?
tcp,whois,S0,0,0,0,0,0,268,0.05,0,-1,neptune,?
tcp,smtp,SF,2163,385,0,0,0,1,0,0,1,normal,?
tcp,http,SF,251,3675,0,0,0,24,0,0,1,normal,?
tcp,systat,S0,0,0,0,0,0,263,0.07,0,-1,neptune,?
tcp,netbios_ssn,S0,0,0,0,0,0,285,0.06,0,-1,neptune,?
tcp,http,SF,214,875,0,0,0,75,0,0.01,1,normal,?
udp,domain_u,SF,44,69,0,0,0,246,0,0,1,normal,?
icmp,eco_i,SF,18,0,0,0,0,1,0,1,-1,ipsweep,?
tcp,http,REJ,0,0,0,0,0,1,0,0.01,1,normal,?
tcp,http,SF,312,2507,0,0,0,4,0,0,1,normal,?
tcp,echo,S0,0,0,0,0,0,199,0.07,0,-1,neptune,?
tcp,vmnet,S0,0,0,0,0,0,281,0.06,0,-1,neptune,?
tcp,private,S0,0,0,0,0,0,205,0.07,0,-1,neptune,?
tcp,daytime,S0,0,0,0,0,0,292,0.05,0,-1,neptune,?
tcp,http,REJ,0,0,0,0,0,1,0,0.06,1,normal,?
tcp,private,S0,0,0,0,0,0,112,0.06,0,-1,neptune,?
udp,private,SF,105,146,0,0,0,1,0,0,1,normal,?
tcp,private,S0,0,0,0,0,0,301,0.06,0,-1,neptune,?
tcp,finger,S0,0,0,0,0,0,34,0.12,0,-1,neptune,?
tcp,ftp_data,SF,334,0,0,0,0,2,0,1,-0.986577,warezclient,?
tcp,finger,SF,10,142,0,0,0,2,1,0,1,normal,?
tcp,nntp,S0,0,0,0,0,0,290,0.06,0,-1,neptune,?
tcp,telnet,S0,0,0,0,0,0,115,0.07,0,-1,neptune,?
tcp,kshell,S0,0,0,0,0,0,100,0.08,0,-1,neptune,?
udp,domain_u,SF,43,131,0,0,0,263,0.01,0,1,normal,?
tcp,http,SF,225,8539,0,0,0,11,0,0.09,1,normal,?
tcp,private,S0,0,0,0,0,0,138,0.06,0,-1,neptune,?
tcp,sunrpc,RSTO,0,0,0,0,0,211,0.08,0,-1,neptune,?
tcp,exec,RSTO,0,0,0,0,0,141,0.06,0,-1,neptune,?
udp,domain_u,SF,44,136,0,0,0,72,0,0,1,normal,?
tcp,http,SF,208,757,0,0,0,7,0,0,1,normal,?
tcp,efs,S0,0,0,0,0,0,140,0.06,0,-1,neptune,?
tcp,exec,S0,0,0,0,0,0,119,0.04,0,-1,neptune,?
tcp,private,REJ,0,0,0,0,0,257,0.07,0,-1,neptune,?
tcp,ftp,S0,0,0,0,0,0,251,0.06,0,-1,neptune,?
tcp,http,SF,228,269,0,0,0,14,0,0,1,normal,?
udp,private,SF,105,147,0,0,0,4,0.5,0.01,1,normal,?
tcp,http,SF,295,2446,0,0,0,8,0,0,1,normal,?
udp,domain_u,SF,45,129,0,0,0,59,0,0,1,normal,?
tcp,http,SF,222,1483,0,0,0,3,0,0.01,1,normal,?
tcp,http,SF,279,3712,0,0,0,2,0,0.03,1,normal,?
tcp,http,REJ,0,0,0,0,0,1,0,0.14,1,normal,?
tcp,http,SF,218,571,0,0,0,17,0,0.01,1,normal,?
icmp,eco_i,SF,30,0,0,0,0,1,0,1,1,normal,?
tcp,private,S0,0,0,0,0,0,47,0.11,0,-1,neptune,?
tcp,ftp_data,S0,0,0,0,0,0,65,0.06,0.01,-1,neptune,?
tcp,supdup,S0,0,0,0,0,0,158,0.06,0,-1,neptune,?
tcp,http,SF,369,238,0,0,0,1,0,0.14,1,normal,?
tcp,http,SF,308,186,0,0,0,13,0,0.03,1,normal,?
tcp,link,REJ,0,0,0,0,0,238,0.07,0,-1,neptune,?
tcp,http,SF,244,458,0,0,0,3,0,0.04,1,normal,?
tcp,supdup,S0,0,0,0,0,0,115,0.07,0,-1,neptune,?
tcp,ftp_data,REJ,0,0,0,0,0,1,0,1,-1,ipsweep,?
tcp,http,S0,0,0,0,0,0,12,0.25,0,-1,neptune,?
tcp,http,SF,238,780,0,0,0,17,0,0.01,1,normal,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
udp,domain_u,SF,44,44,0,0,0,163,0,0,1,normal,?
udp,domain_u,SF,42,42,0,0,0,7,0,0.01,1,normal,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
tcp,http,S1,255,32120,0,0,0,1,0,0,1,normal,?
tcp,bgp,S0,0,0,0,0,0,7,0.43,0,-1,neptune,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
tcp,http,SF,235,1249,0,0,0,5,0,0.02,1,normal,?
icmp,ecr_i,SF,64,0,0,0,0,1,0,0.05,1,normal,?
tcp,private,S0,0,0,0,0,0,215,0.06,0,-1,neptune,?
tcp,http,SF,166,10263,0,0,0,9,0,0.01,1,normal,?
udp,domain_u,SF,88,0,0,0,0,8,0,0.07,1,normal,?
tcp,private,S0,0,0,0,0,0,224,0.07,0,-1,neptune,?
tcp,smtp,S0,0,0,0,0,0,294,0.06,0,-1,neptune,?
tcp,private,REJ,0,0,0,0,0,78,0.06,0,-1,neptune,?
tcp,systat,REJ,0,0,0,0,0,133,0.07,0,-1,neptune,?
tcp,http,SF,212,253,0,0,0,20,0,0,1,normal,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
tcp,link,S0,0,0,0,0,0,196,0.06,0,-1,neptune,?
udp,private,SF,1,74,0,0,0,27,0.15,0.24,-1,satan,?
tcp,http,SF,348,1170,0,0,0,13,0,0,1,normal,?
tcp,http,SF,299,303,0,0,0,14,0,0.01,1,normal,?
tcp,iso_tsap,S0,0,0,0,0,0,248,0.05,0,-1,neptune,?
tcp,ftp_data,SF,10389,0,0,0,0,1,0,0.31,1,normal,?
tcp,http,SF,217,2431,0,0,0,7,0,0.02,1,normal,?
tcp,http,SF,344,573,0,0,0,28,0,0,1,normal,?
tcp,http,SF,321,3411,0,0,0,1,0,0.01,1,normal,?
tcp,other,RSTR,0,0,0,0,0,1,0,1,-1,portsweep,?
icmp,urp_i,SF,182,0,0,0,0,5,0,0.05,1,normal,?
tcp,http,S0,0,0,0,0,0,23,0.09,0.01,-1,neptune,?
tcp,ftp,S0,0,0,0,0,0,50,0.12,0,-1,neptune,?
tcp,whois,S0,0,0,0,0,0,257,0.05,0,-1,neptune,?
udp,private,SF,105,146,0,0,0,3,0.67,0.01,1,normal,?
tcp,http,S2,256,15968,0,0,0,1,0,0.01,1,normal,?
udp,private,SF,105,147,0,0,0,1,0,0.2,1,normal,?
tcp,http,SF,186,1192,0,0,0,5,0,0.2,1,normal,?
udp,domain_u,SF,44,134,0,0,0,109,0,0,1,normal,?
tcp,private,S0,0,0,0,0,0,132,0.06,0,-1,neptune,?
udp,other,SF,147,105,0,0,0,1,0,0.87,1,normal,?
tcp,efs,S0,0,0,0,0,0,139,0.06,0,-1,neptune,?
tcp,private,S0,0,0,0,0,0,292,0.05,0,-1,neptune,?
tcp,other,SF,3468,0,0,0,0,15,0.13,0.38,1,normal,?
tcp,http,SF,203,722,0,0,0,3,0,0.33,1,normal,?
tcp,http,REJ,0,0,0,0,0,1,0,0.08,1,normal,?
tcp,finger,S0,0,0,0,0,0,121,0.06,0,-1,neptune,?
tcp,ftp,SF,1466,4152,0,0,0,1,0,0.01,1,normal,?
icmp,eco_i,SF,8,0,0,0,0,1,0,1,-0.732999,ipsweep,?
tcp,private,S0,0,0,0,0,0,112,0.06,0,-1,neptune,?
tcp,http,SF,238,2002,0,0,0,12,0,0.01,1,normal,?
tcp,http,SF,332,2844,0,0,0,14,0,0.01,1,normal,?
tcp,http,REJ,0,0,0,0,0,1,0,0.17,1,normal,?
tcp,telnet,S0,0,0,0,0,0,8,0.5,0.01,-1,neptune,?
udp,domain_u,SF,45,116,0,0,0,112,0.02,0,1,normal,?
tcp,http,REJ,0,0,0,0,0,1,0,0.03,1,normal,?
tcp,http,SF,217,1472,0,0,0,3,0,0.03,1,normal,?
tcp,smtp,SF,1769,332,0,0,0,1,0,0,1,normal,?
udp,private,SF,100,0,0,0,0,2,0,0.06,-1,nmap,?
